trade_id,symbol,strategy,side,anchor,horizon_seconds,status,entry_reference,quantity,at_mono,actual_net_usd,actual_mfe_bps,after_actual_close,source_session,source_inputs,signal_line,open_line,close_line,exit_raw_vwap,exit_fill,move_bps,quote_gross_usd,exit_slippage_usd,fees_usd,net_usd,book_input_line,depth_input_line,book_age_seconds
T03,NEARUSDT,level_breakout,short,after_close,120,ok,4.7925207,207.8,536547.0665222,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.803,4.8034802999999995,-21.865946244113417,-2.177598540000017,0.09980633999990546,1.0967269542900002,-3.3741318342899227,21862767,21861697,0.130522400024347
T04,SOLUSDT,level_breakout,short,signal,5,ok,120.26797200000001,8.8,536427.2216463089,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.26000000000002,120.27202600000001,0.6628531160395059,0.07015359999995781,0.10582879999992657,1.1642135903200002,-1.1998887903199689,21084285,21083779,0.052994508878327906
T04,SOLUSDT,level_breakout,short,signal,15,ok,120.26797200000001,8.8,536437.2216463089,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.29,120.302029,-1.8315765730207638,-0.19384639999992717,0.10585519999998497,1.1643588048400002,-1.4640604048399124,21147439,21146329,0.1315685089211911
T04,SOLUSDT,level_breakout,short,signal,30,ok,120.26797200000001,8.8,536452.2216463089,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.3,120.31203,-2.66305313604046,-0.2818463999998471,0.10586399999996275,1.1644072096800002,-1.5521176096798102,21233023,21233023,0.5317761088954285
T04,SOLUSDT,level_breakout,short,signal,60,ok,120.26797200000001,8.8,536482.2216463089,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.26999999999998,120.28202699999999,-0.168623446977827,-0.017846399999712048,0.10583760000002941,1.1642619951600002,-1.2879459951597416,21418017,21417629,0.13209140894468874
T04,SOLUSDT,level_breakout,short,signal,120,ok,120.26797200000001,8.8,536542.2216463089,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.32,120.332032,-4.326006262081034,-0.45784639999981214,0.10588160000004337,1.1645040193600003,-1.7282320193598557,21819052,21817627,0.12664570892229676
T04,SOLUSDT,level_breakout,short,fill,5,ok,120.26797200000001,8.8,536427.2972086,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.26000000000002,120.27202600000001,0.6628531160395059,0.07015359999995781,0.10582879999992657,1.1642135903200002,-1.1998887903199689,21084923,21084923,0.004422200028784573
T04,SOLUSDT,level_breakout,short,fill,15,ok,120.26797200000001,8.8,536437.2972086,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.29,120.302029,-1.8315765730207638,-0.19384639999992717,0.10585519999998497,1.1643588048400002,-1.4640604048399124,21148091,21148086,0.007279900019057095
T04,SOLUSDT,level_breakout,short,fill,30,ok,120.26797200000001,8.8,536452.2972086,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.3,120.31203,-2.66305313604046,-0.2818463999998471,0.10586399999996275,1.1644072096800002,-1.5521176096798102,21233023,21233023,0.6073383999755606
T04,SOLUSDT,level_breakout,short,fill,60,ok,120.26797200000001,8.8,536482.2972086,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.26999999999998,120.28202699999999,-0.168623446977827,-0.017846399999712048,0.10583760000002941,1.1642619951600002,-1.2879459951597416,21418485,21418485,0.0064196999883279204
T04,SOLUSDT,level_breakout,short,fill,120,ok,120.26797200000001,8.8,536542.2972086,-2.4326896580800383,3.9887593681230165,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.32,120.332032,-4.326006262081034,-0.45784639999981214,0.10588160000004337,1.1645040193600003,-1.7282320193598557,21819560,21817627,0.2022080000024289
T04,SOLUSDT,level_breakout,short,after_close,5,ok,120.26797200000001,8.8,536550.5587715,-2.4326896580800383,3.9887593681230165,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275479,275481,284991,120.44,120.452044,-14.30372501832684,-1.5138463999998522,0.10598720000002687,1.1650848774400002,-2.784918477439879,21889957,21889640,0.06927900004666299
